Record Type,Constituent Id,Address ID,Address Type,Primary Flag,Organization Name,Address line 1,Address line 2,Address line 3,Address line 4,City,State,Zip Code,County,District
1C,40847696,HO,P,X,,1341 Owen Neck Apt. 103,,,,West Joelville,CA,44076,Champaign,13.0
1C,40847919,HO,P,X,,919 Mendoza Inlet Suite 703,,,,Danielleville,MT,77618,Madison,13.0
1C,40848730,HO,P,X,,"PSC 2956, Box 9870",,,,West Kimberlyhaven,ND,95153,Madison,13.0
1C,40848806,HO,P,X,,1877 Gonzalez Cove,,,,Markborough,OH,66000,Madison,13.0
1C,40879740,HO,P,X,,53605 Randy Brook,,,,Eddiefort,KY,48648,Champaign,13.0
1C,40892580,HO,P,X,,54904 Torres Heights Suite 048,,,,Dixonstad,IN,64560,Stephenson,17.0
1C,40917185,HO,P,X,,0184 Wyatt Harbor,Clinton,,,New Madisonshire,AL,97889,Dewitt,13.0
1C,40923873,HO,P,X,,84519 Sean Shoal Apt. 052,,,,South Nicolebury,AR,89139,Champaign,13.0
1C,40930776,HO,P,X,,12086 John Place,,,,DPO AE 79804,NH,63802,Sangamon,13.0
1C,40932580,HO,P,X,,54694 Snyder Haven Apt. 789,,,,Lake Meghanburgh,WA,53273,Christian,13.0
1C,40964894,BU,P,X,,4225 Mills Views,,,,Thomasside,MD,11078,Christian,13.0
1C,40980151,HO,P,X,,1955 Jennifer Knoll Suite 178,,,,APO AE 11146,WA,81774,Sangamon,13.0
1C,40983987,HO,P,X,,899 Long Fords,,,,West Johnshire,CT,87326,Montgomery,13.0
1C,40994666,HO,P,X,,5993 Lester Turnpike Apt. 660,,,,West Brandy,MT,57157,Woodford,18.0
1C,41004727,HO,P,X,,USNS Stanley,,,,Olsonchester,RI,33537,Sangamon,13.0
1C,41071514,HO,S,X,,Unit 5416 Box 3655,,,,Lake Michaelshire,ND,55258,McLean,13.0
1C,41071514,BU,S,,,Unit 0970 Box 4509,,,,FPO AE 92612,LA,16169,McLean,13.0
1C,41074992,HO,P,X,,607 Roberson Grove Suite 219,,,,FPO AE 80910,OK,22280,Christian,13.0
1C,41074994,HO,P,X,,73635 Eric Tunnel,,,,Silvaview,WI,77831,Madison,13.0
1C,41075015,HO,P,X,,42128 Paul Bridge Apt. 504,,,,Lake Anthony,NC,11269,Champaign,13.0
1C,41075995,HO,P,X,,Unit 5366 Box 0053,,,,Port Wendy,MD,78097,Champaign,13.0
1C,41076003,HO,P,X,,685 Angela Oval Apt. 990,,,,Walterschester,OR,2004,Macon,13.0
1C,41076490,HO,P,X,,61801 Ramsey Light,,,,Kinghaven,MO,90543,Champaign,13.0
1C,41076498,HO,P,X,,687 Garcia Rapids,,,,Brendaburgh,GA,81233,Macon,13.0
1C,41077648,HO,P,X,,40014 Alvin Meadows Suite 246,,,,Georgechester,DE,13024,Champaign,13.0
1C,41077739,HO,P,X,,35539 Eric Vista Suite 587,,,,Andreaview,MS,21308,Macoupin,13.0
1C,41077751,HO,P,X,,1955 Jimenez Ridges,,,,East Daniel,MN,11127,Madison,13.0
1C,41077808,HO,P,X,,9959 Brown Unions Suite 328,,,,Port Jamesfurt,FL,68618,Champaign,13.0
1C,41078215,HO,P,X,,01163 Nicholas Dale Suite 650,,,,Edwardsstad,IN,58652,Champaign,13.0
1C,41078895,HO,P,X,,49721 Jensen Spring Suite 810,,,,North James,ND,58282,Champaign,13.0
1C,41078897,HO,P,X,,97600 Mark Bypass,,,,Lake Vickietown,KY,64823,Dewitt,13.0
1C,41080231,HO,S,X,,599 Owens Keys Apt. 364,,,,APO AE 98130,KY,50893,Montgomery,13.0
1C,41080231,BU,S,,,91178 Brandon Mountain Suite 088,,,,West Sherry,NM,42860,Montgomery,13.0
1C,41080257,HO,P,X,,951 Garcia Islands,,,,Georgeview,VT,83996,Montgomery,13.0
1C,41080468,HO,P,X,,8744 Mclean Corners,,,,Lake Robert,NJ,92438,Madison,13.0
1C,41080476,HO,P,X,,627 Price Ports,,,,Spencerchester,FL,62079,Madison,13.0
1C,41080517,HO,P,X,,211 Lisa Rapid,,,,Lake Michele,AZ,55342,Madison,13.0
1C,41080635,HO,P,X,,9317 Johnson Pine,,,,New Davidview,DC,29269,Champaign,13.0
1C,41080955,HO,P,X,,5576 Butler Valleys Suite 239,,,,Port Anthony,VA,10529,Macon,13.0
1C,41081016,HO,P,X,,Unit 8175 Box 4877,,,,Jonestown,AK,12048,Christian,13.0
1C,41081137,HO,P,X,,134 Edwin Plain Suite 178,,,,Port Andrewtown,DE,10357,Madison,13.0
1C,41081579,HO,P,X,,8654 Watts Junction Apt. 634,,,,Brockville,LA,9388,Champaign,13.0
1C,41082421,HO,P,X,,82637 Gary Row Suite 426,,,,APO AA 77866,ND,61922,Champaign,13.0
1C,41082924,HO,P,X,,6331 Jacob Estate Suite 857,,,,South Robertfort,NY,40488,Champaign,13.0
1C,41082960,HO,P,X,,8130 Reilly Mountains,,,,Raymondton,GA,33486,Macon,13.0
1C,41082962,HO,P,X,,675 Scott Corner,,,,FPO AA 08577,MT,13517,Christian,13.0
1C,41117147,HO,P,X,,9612 Pacheco Circles,,,,East Lindseyshire,NY,16966,Tazewell,18.0
1C,41337177,HO,P,X,,571 Christensen Highway Apt. 552,,,,Tranview,IL,23974,Sangamon,13.0
1C,41766129,HO,P,X,,1828 Cole Mountains Suite 062,,,,Alexistown,ID,27773,Jersey,13.0
1C,41767483,HO,S,,,8656 Fletcher Way,,,,Michaelborough,ND,37537,Madison,13.0
1C,41767483,OT,S,X,,14350 French Isle Suite 717,,,,New Arthurtown,CO,76081,Madison,13.0
1C,41767484,OT,P,X,,"PSC 5450, Box 7201",,,,Seanmouth,GA,68506,Madison,13.0
1C,41767486,HO,S,,,994 Jones Freeway Apt. 887,,,,Johnbury,CA,86341,Christian,13.0
1C,41767486,OT,S,X,,8132 Weiss View Suite 421,,,,APO AA 36499,WV,93242,Christian,13.0
1C,41767487,BU,S,,,47154 Alicia Squares,,,,West Mariemouth,KY,47920,Christian,13.0
1C,41767487,OT,S,X,,0144 Karen Isle,,,,West Michelefurt,SD,20426,Christian,13.0
1C,41767489,OT,P,X,,12511 Phillips View Apt. 434,"100 Phoenix Ave,",,,Jenniferborough,NH,86545,McLean,13.0
1C,41767490,HO,S,,,72949 Christopher Parkway Suite 111,,,,Matthewton,AZ,1847,Macoupin,13.0
1C,41767490,OT,S,X,,Unit 5816 Box 4066,,,,FPO AE 28985,FL,4522,Macoupin,13.0
1C,41767491,OT,P,X,,40726 William Shore,,,,Robertborough,CT,71748,Sangamon,13.0
1C,41767492,BU,S,,,38715 Cooper Summit,,,,Ritaside,NV,3148,Sangamon,13.0
1C,41767492,OT,S,X,,028 Shelia Mount Suite 039,,,,Richardland,MD,11302,Sangamon,13.0
1C,41767493,HO,S,X,,028 Thompson Circles,,,,Sarahborough,NV,36926,Sangamon,13.0
1C,41767493,OT,S,,,50338 Barrera Row Suite 392,,,,New Kathleen,ME,93869,Sangamon,13.0
1C,41767494,BU,S,,,5607 Harris Stream Apt. 947,,,,Port Glenda,CT,58032,Sangamon,13.0
1C,41767494,OT,S,X,,740 Bianca Village Suite 866,,,,Benjaminton,GA,27240,Sangamon,13.0
1C,41767495,HO,S,,,4705 Moore Lakes Suite 868,,,,Lake Carolyn,PA,72027,Sangamon,13.0
1C,41767495,OT,S,X,,6413 Nicholas Streets Suite 375,,,,Port Maria,DE,77880,Sangamon,13.0
1C,41767497,HO,S,,,Unit 0167 Box 1856,,,,Lindaville,KS,1125,Sangamon,13.0
1C,41767497,OT,S,X,,8628 Weiss Street,,,,East Brendanfort,NV,42773,Sangamon,13.0
1C,41767498,OT,P,X,,334 Valerie Island Apt. 752,,,,Morantown,MO,59375,Macon,13.0
1C,41767499,OT,P,X,,114 Davis Roads,,,,New James,NH,53053,Sangamon,13.0
1C,41767500,BU,S,,,67317 Shaffer Locks,,,,Oliviatown,NH,33852,Sangamon,13.0
1C,41767500,OT,S,X,,667 Leonard Mills Apt. 714,,,,Wilsonmouth,NY,85288,Sangamon,13.0
1C,41767501,OT,P,X,,Unit 8336 Box 8967,,,,New Joshua,IA,13544,McLean,13.0
1C,41767502,OT,P,X,,6572 Kenneth Fall,,,,Lindseyland,LA,57525,McLean,13.0
1C,41767503,OT,P,X,,544 Jennifer Road,,,,West Jonathanbury,CA,55629,Macon,13.0
1C,41767504,BU,S,,,649 Martinez Lights Apt. 518,,,,South John,IL,8343,Champaign,13.0
1C,41767504,OT,S,X,,USCGC Jones,,,,South Carolineborough,MI,92631,Champaign,13.0
1C,41767506,OT,P,X,,85123 Willis Isle,,,,Nashville,TX,64253,Champaign,13.0
1C,41767507,OT,P,X,,7200 Jones Forest,,,,Smithside,TX,18470,Champaign,13.0
1C,41767508,HO,S,,,221 Shawn Hill,,,,Jacobsland,LA,70354,Champaign,13.0
1C,41767508,OT,S,X,,259 Alexander Views,,,,West Nicole,TN,33574,Champaign,13.0
1C,41767509,OT,P,X,,7824 Ashley Well Suite 841,,,,North Edwardton,CA,97365,Champaign,13.0
1C,42311265,BU,S,X,,3864 Caitlin Port,,,,FPO AA 69097,LA,31304,Cook,7.0
1C,41767510,OT,P,X,,057 Melissa Rest,,,,Mayfurt,ID,88133,Champaign,13.0
1C,41767511,BU,P,X,,77967 Jamie Ridge Apt. 595,,,,Nelsonbury,MD,14015,Champaign,13.0
1C,41767512,BU,S,,,4226 Steven Trafficway,,,,South Johnborough,DE,664,Champaign,13.0
1C,41767512,OT,S,X,,5129 Donna Stream,,,,South Melissaview,RI,66083,Champaign,13.0
1C,41767513,OT,P,X,,9533 Mark Hollow,,,,FPO AA 15225,IL,682,Champaign,13.0
1C,41767514,OT,P,X,,USNS Cooper,,,,Berryberg,NC,32265,Champaign,13.0
1C,41767515,BU,S,,,200 Miller Trail Suite 419,,,,Clarkfort,AZ,76817,Champaign,13.0
1C,41767515,OT,S,X,,085 Ali Fork Suite 245,,,,Thomasport,KY,38763,Champaign,13.0
1C,41767516,BU,S,,,9611 Shane Extension,,,,Stephenchester,MS,3593,Champaign,13.0
1C,41767516,OT,S,X,,6428 Crystal Springs Apt. 092,,,,North Edwardberg,ME,40500,Champaign,13.0
1C,41907168,HO,P,X,,448 Olson Junction,,,,Brittanyview,NV,68143,Madison,15.0
1C,42009209,HO,P,X,,22282 Johns Oval,,,,New Marissa,WV,70429,Piatt,13.0
1C,42116131,HO,P,X,,7679 Kelly Parks,,,,West Daniel,TX,37025,,13.0
1C,42260852,HO,P,X,,91827 Brooke Plaza Suite 883,,,,Jorgeborough,WY,77865,Champaign,13.0
1C,42261881,HO,P,X,,436 Cooke Islands,,,,Tonyaview,AL,92781,Macoupin,13.0
1C,42262000,HO,P,X,,85367 Julie Junction,,,,Lake Karen,DC,26634,Dewitt,13.0
1C,42262194,HO,P,X,,37229 Garza Shoal Suite 089,,,,Davidstad,GA,60609,Champaign,13.0
1C,42263039,HO,P,X,,307 Samantha Curve Apt. 004,,,,New Joseph,MT,78996,Champaign,13.0
1C,42263924,HO,P,X,,"PSC 4081, Box 7743",,,,New Christopher,MO,44203,Champaign,13.0
1C,42264021,HO,P,X,,273 Friedman Expressway Apt. 335,,,,Davisside,IA,12517,Christian,13.0
1C,42264152,HO,P,X,,79866 Jerry Flat Suite 377,,,,Lake Robert,AK,33333,Macoupin,13.0
1C,42264312,HO,P,X,,0102 Susan Orchard,,,,Alyssachester,AL,88393,McLean,13.0
1C,42264413,HO,P,X,,8446 Brendan Cliff,,,,Garciaborough,MT,7441,Montgomery,13.0
1C,42264480,HO,P,X,,927 Megan Lakes,,,,Saratown,WY,73593,Piatt,13.0
1C,42264489,HO,P,X,,576 Henderson Hollow Suite 156,,,,New Marilynborough,OH,20000,Christian,13.0
1C,42264519,HO,P,X,,"PSC 3091, Box 5655",,,,Williamstown,CT,75810,Madison,13.0
1C,42264672,HO,P,X,,98155 Matthew Lake,,,,Jeremymouth,MN,48662,Champaign,13.0
1C,42264816,HO,P,X,,409 Linda Streets,,,,Diazstad,OR,94061,Madison,13.0
1C,42264832,HO,P,X,,2025 Dylan Lane Apt. 397,,,,West Kenneth,ID,47612,McLean,13.0
1C,42265057,HO,P,X,,01245 Rivera Plains Suite 214,,,,Stoneshire,MS,56396,Christian,13.0
1C,42265220,HO,P,X,,2194 Mary Turnpike Suite 472,,,,Kevinbury,HI,88782,Dewitt,13.0
1C,42265244,HO,P,X,,15509 Donna Pines,,,,Bankston,MA,94067,Champaign,13.0
1C,42265331,HO,P,X,,"PSC 5185, Box 9301",,,,Port Teresashire,RI,56916,Champaign,13.0
1C,42265667,HO,P,X,,01709 Phillips Run Suite 305,,,,Hollandbury,NC,69533,Macon,13.0
1C,42265961,HO,P,X,,8240 Natalie Creek Apt. 433,,,,East Leah,NJ,85804,Champaign,13.0
1C,42266020,HO,P,X,,622 Robert Mount,,,,Franklintown,IN,97687,,13.0
1C,42266054,HO,P,X,,98251 Adriana Manors,,,,New Amyfort,IL,60687,Macon,13.0
1C,42266106,HO,P,X,,190 Elizabeth Run,,,,Stephenton,MT,53225,Champaign,13.0
1C,42267203,HO,P,X,,42095 Patel Corner Apt. 024,,,,Port Stephanie,NH,21926,Madison,13.0
1C,42290482,HO,P,X,,9704 Hurst Streets Suite 265,,,,APO AE 34631,MN,61369,Jersey,13.0
1C,42299381,HO,P,X,,17326 Andrea Prairie,,,,New Justinfort,KY,78875,McLean,13.0
1C,42299411,HO,P,X,,765 Graham Neck,,,,Port Mark,CT,95279,Madison,13.0
1C,42299641,HO,S,X,,536 Johnson Shores Apt. 225,,,,Lake Pamelaborough,KY,78063,Macoupin,13.0
1C,42299641,BU,S,,,USNS Robertson,,,,DPO AE 98576,CA,65173,Macoupin,13.0
1C,42299716,HO,P,X,,14245 Rodriguez Squares Apt. 533,,,,North Gerald,VA,22823,Greene,13.0
1C,42299753,HO,P,X,,8900 Amber Row,,,,Lake Bryan,MO,60358,Madison,13.0
1C,42299776,HO,P,X,,6429 Melissa Lock Apt. 815,,,,Kristinport,CO,96246,Champaign,13.0
1C,42299853,HO,P,X,,9485 Rich Forks,,,,Millerburgh,VT,34335,Macoupin,13.0
1C,42300003,HO,P,X,,252 Garrison Flat,,,,Martinezchester,IL,32198,Sangamon,13.0
1C,42300233,HO,P,X,,3536 Williams Crossroad Apt. 976,,,,Zacharytown,ID,56760,Champaign,13.0
1C,42300301,HO,P,X,,6003 Keller Rapids,,,,Lake Tommy,CT,64449,Madison,13.0
1C,42300351,HO,P,X,,82321 Kelly Spring,,,,Davenportville,MI,70797,McLean,13.0
1C,42300355,HO,P,X,,4488 Stone Lock,,,,FPO AP 10299,OR,51519,McLean,13.0
1C,42300357,HO,P,X,,15910 Paul Drive Apt. 778,,,,South Patriciaton,SC,52976,Macon,13.0
1C,42300379,HO,P,X,,053 Kayla Point,,,,FPO AE 96699,HI,51682,Macon,13.0
1C,42300508,HO,P,X,,695 Kevin Centers Suite 795,,,,Port Kelseyshire,IL,33479,Madison,13.0
1C,42300548,HO,P,X,,81372 Webb Rapid Apt. 729,,,,North Angelafurt,AZ,79923,Champaign,13.0
1C,42300561,HO,P,X,,78843 Marshall Road,,,,Andersonburgh,OH,8241,Greene,13.0
1C,42300610,HO,P,X,,USNV Sims,,,,Gomezland,MI,76643,McLean,13.0
1C,42300620,HO,P,X,,111 Wilson River,,,,South Travis,TN,81303,Macon,13.0
1C,42300640,HO,P,X,,008 Kevin Circle Apt. 323,,,,Port Philip,VT,71607,Christian,13.0
1C,42300773,HO,P,X,,42217 Lamb Islands Suite 541,,,,Gregoryville,OK,41642,Champaign,13.0
1C,42300869,HO,P,X,,55147 Bailey Fort Apt. 196,,,,Hernandezland,NY,7732,McLean,13.0
1C,42300965,HO,P,X,,"PSC 6328, Box 1336",,,,North Jorgetown,NJ,44423,Macon,13.0
1C,42300977,HO,P,X,,9681 Ralph Knolls,,,,Port Paulamouth,TN,19764,Christian,13.0
1C,42300999,HO,P,X,,019 David Crossing Suite 577,,,,Mclaughlinborough,VA,41062,,13.0
1C,42301006,HO,P,X,,993 Robbins Oval,,,,Tracystad,NV,20066,Champaign,13.0
1C,42301105,HO,P,X,,Unit 1152 Box 2706,,,,Oliverfort,GA,15352,Christian,13.0
1C,42301259,HO,P,X,,6811 Kirk Station Suite 784,,,,Port John,MI,29752,Macoupin,13.0
1C,42301309,BU,P,X,,04999 Jose Drive Suite 260,,,,Port James,NH,48861,Sangamon,18.0
1C,42301386,HO,P,X,,997 Zachary Flats,,,,Port Williambury,DC,97741,Christian,13.0
1C,42301390,HO,P,X,,9306 Christine Mount Suite 436,,,,Smithport,NE,99843,Macon,13.0
1C,42301560,HO,S,X,,056 Mike Forks,,,,FPO AA 89114,AR,20672,Madison,13.0
1C,42301560,BU,S,,,261 Smith Islands,,,,Lake Davidhaven,NJ,48218,Madison,13.0
1C,43618365,BU,S,,,3290 Reese Port Suite 707,,,,South Juliachester,IL,87112,,
1C,42301581,HO,P,X,,52648 Ivan Shoal Suite 480,,,,Johnsonfort,NE,60362,Madison,13.0
1C,42301856,HO,P,X,,09340 Christopher Trail Apt. 828,,,,South Mauricefort,NH,53349,Champaign,13.0
1C,42301859,HO,P,X,,483 Kelly Brooks Apt. 081,,,,New Michaelstad,UT,27851,Champaign,13.0
1C,42301887,HO,P,X,,6219 Eric Mews Apt. 329,,,,South Charles,DE,77860,Madison,13.0
1C,42302031,HO,P,X,,100 Russell Dale Suite 344,,,,East Brian,MI,35350,Macon,13.0
1C,42302138,HO,P,X,,8592 Haney Shore,,,,Lake Lisabury,OK,13324,Champaign,13.0
1C,42302198,HO,P,X,,770 Oscar Expressway Suite 008,,,,APO AE 10692,ND,43184,Champaign,13.0
1C,42302519,HO,P,X,,7235 Natalie Junctions,,,,East Shaunstad,AR,10760,Sangamon,13.0
1C,42302612,HO,P,X,,390 Maureen Shore,,,,FPO AA 55689,MS,44176,Macon,13.0
1C,42302619,HO,P,X,,2701 Robinson Rue Suite 126,,,,Tiffanyshire,OK,84170,Christian,13.0
1C,42302890,HO,P,X,,7732 David Corner Suite 514,,,,Charlesberg,RI,24445,Macon,13.0
1C,42302938,HO,P,X,,432 Williams Garden,,,,Dillonstad,IA,80069,Madison,13.0
1C,42302976,HO,P,X,,87585 Wade Square Suite 028,,,,Murphymouth,MD,26813,Christian,13.0
1C,42303102,HO,P,X,,539 David Throughway Suite 913,,,,Port Valerieborough,WA,21452,Macon,13.0
1C,42303373,HO,P,X,,24553 Wolfe Islands,,,,Susanview,TN,76890,Piatt,13.0
1C,42303440,HO,P,X,,5271 James Trace,,,,East Karen,AZ,46409,Madison,13.0
1C,42303498,HO,P,X,,72809 Robinson Turnpike,,,,West Michelle,SC,97820,Sangamon,13.0
1C,42303547,HO,P,X,,257 Amanda Station,,,,FPO AP 70670,MO,99650,Christian,13.0
1C,42303624,HO,P,X,,27221 Sarah Lane Suite 477,,,,South Jessicashire,NE,27899,Madison,13.0
1C,42303687,HO,P,X,,488 Dickson Courts,,,,North Jenniferland,CO,36628,Piatt,13.0
1C,42303760,HO,P,X,,570 Garcia Dale,,,,East Paul,SC,15888,McLean,13.0
1C,42303844,HO,P,X,,2537 Lopez Terrace,,,,Manningstad,DC,53071,Madison,13.0
1C,42303867,HO,P,X,,407 Mitchell Knoll,,,,Port Nicholasbury,CO,6274,Madison,13.0
1C,42304162,HO,P,X,,9160 Melissa Mills,,,,West Erin,CT,86862,Macon,13.0
1C,42304436,HO,P,X,,1864 Daniel Hills,,,,New Emily,NJ,31303,Macon,13.0
1C,42304529,HO,P,X,,995 Wilson Summit Suite 815,,,,Vargasbury,WY,73689,Sangamon,13.0
1C,42304541,HO,P,X,,3888 King Divide Apt. 871,,,,Lake Joshuashire,MI,80949,Macoupin,13.0
1C,42304556,HO,S,X,,USCGC Garcia,,,,APO AE 99121,OK,41952,Christian,13.0
1C,42304556,BU,S,,,79089 Bates Forge,,,,East Erikland,CT,13351,Christian,13.0
1C,42304582,HO,P,X,,376 Ross Views,,,,Jordanville,VT,53063,Christian,13.0
1C,42304595,HO,P,X,,31955 Sheila Corners,,,,Port Julie,MN,44217,Madison,13.0
1C,42304721,HO,P,X,,97011 Justin Valleys,,,,Burnettport,TN,71484,Sangamon,13.0
1C,42304770,HO,P,X,,299 Barker Meadow,,,,Simpsonside,CA,80760,Macoupin,13.0
1C,42304855,HO,P,X,,Unit 1403 Box 2192,,,,South Rachelville,NV,67482,Sangamon,13.0
1C,42304908,HO,P,X,,24791 Thomas Roads,,,,APO AE 46108,IL,29339,Macon,13.0
1C,42305496,HO,P,X,,USNS Murphy,,,,FPO AA 54324,SD,35176,Macon,13.0
1C,42305597,HO,P,X,,845 Conner Junctions Suite 682,,,,New Katherine,DC,43783,Macon,13.0
1C,42305598,HO,P,X,,81144 Jane Throughway,,,,Sydneyport,MD,86525,McLean,13.0
1C,42305627,HO,P,X,,42733 Mills Parks Apt. 855,,,,East Davidhaven,AR,53089,Sangamon,13.0
1C,42305629,HO,P,X,,6464 Espinoza Meadow,,,,North Jonathan,VA,56629,Sangamon,13.0
1C,42305751,HO,P,X,,44756 Winters Prairie Suite 697,,,,Reedton,DE,63544,Madison,13.0
1C,42305775,HO,P,X,,221 Kim Glen,,,,Johnburgh,NC,14378,Champaign,13.0
1C,42305805,HO,P,X,,USCGC Reyes,,,,Matthewland,WI,10231,Macon,13.0
1C,42305971,HO,S,X,,7803 Shaw Lane Apt. 892,,,,Frederickville,LA,99464,Christian,13.0
1C,42305971,BU,S,,,9075 Mark Stravenue Apt. 922,,,,Lake Brian,ID,5945,Christian,13.0
1C,42306220,HO,P,X,,692 Lisa Run Suite 086,,,,FPO AP 49871,HI,78478,Sangamon,13.0
1C,42306383,HO,P,X,,086 Stacy Field Apt. 528,,,,FPO AP 56352,SC,59562,Macon,13.0
1C,42306618,HO,P,X,,158 Leah Prairie,,,,South Jeffrey,MI,42837,McLean,13.0
1C,42306620,HO,P,X,,4352 Donna Squares,,,,West Jamieton,UT,95782,Madison,13.0
1C,42306749,HO,P,X,,08035 Jeffrey Route Apt. 943,,,,New Jamesberg,AK,48030,Sangamon,13.0
1C,42306785,HO,P,X,,3376 West Tunnel Apt. 248,,,,Jameston,VA,39121,Montgomery,13.0
1C,42306923,HO,P,X,,896 Wood Fields Suite 366,,,,Jeffreyfurt,ND,29288,Christian,13.0
1C,42306933,HO,P,X,,05605 Alison Shores,,,,West Jennifer,SD,29478,Macon,13.0
1C,42306981,HO,P,X,,50748 Justin Parkways,,,,New Scott,NY,22186,Champaign,13.0
1C,42307034,HO,P,X,,6406 Jeremy Trafficway Apt. 908,,,,West Lindsey,DC,35094,Madison,13.0
1C,42307061,HO,P,X,,394 Alexander Creek,,,,Calebside,PA,89995,Champaign,13.0
1C,42307236,HO,P,X,,"PSC 4202, Box 8959",,,,South Jennifer,NC,16519,Madison,13.0
1C,42307258,HO,S,X,,3503 Lopez Way,,,,South Cassandra,KS,14280,McLean,13.0
1C,42307258,BU,S,,,973 Fisher Roads Apt. 490,,,,Port Sandra,MN,77317,McLean,13.0
1C,42307432,HO,P,X,,857 Molly Garden Suite 922,,,,Khantown,MN,35083,Montgomery,13.0
1C,42307617,HO,P,X,,93310 Browning Mountain,,,,Garciashire,NV,49797,Christian,13.0
1C,42307656,HO,P,X,,6880 Doyle Pines,,,,Rothberg,LA,50192,Madison,13.0
1C,42307697,HO,P,X,,34986 Wells Stravenue,,,,East Devin,MD,65296,Christian,13.0
1C,42307704,HO,P,X,,USCGC Walsh,,,,Lake Aaron,ND,15422,Sangamon,13.0
1C,42307808,HO,P,X,,3022 Jones Road Apt. 598,,,,Masonshire,NJ,23471,Champaign,13.0
1C,42308319,HO,P,X,,642 Stephen Trail Suite 657,,,,Browntown,WI,2453,Sangamon,13.0
1C,42308403,BU,P,X,,72779 Olson Shoal Apt. 625,,,,Lake Adrienne,AR,97572,Cook,7.0
1C,42308422,BU,P,X,,"PSC 9878, Box 2877",,,,Lake Alan,ID,21301,Cook,7.0
1C,42308477,HO,P,X,,3185 Horn Street Suite 444,,,,Michelleland,LA,9334,Champaign,13.0
1C,42308491,HO,P,X,,141 Stephanie Parkway Suite 958,,,,Lake Coreybury,AK,12833,Champaign,13.0
1C,42308664,HO,P,X,,652 Caitlin Bridge,,,,Lake Catherine,AL,66118,Macon,13.0
1C,42308931,HO,P,X,,0462 Jennifer Course,,,,Cohenberg,AR,45347,Madison,13.0
1C,42309191,HO,P,X,,20977 Branch Bridge Suite 186,,,,Lake Taylorchester,MD,28244,Sangamon,13.0
1C,42309270,HO,S,X,,18098 Michelle Islands,,,,North Sandra,IA,92796,Macon,13.0
1C,42309270,BU,S,,,6739 Cantrell Drive,,,,Marcusberg,WA,98123,,
1C,42309270,OT,S,,,798 Ray Overpass Suite 195,,,,Sampsonburgh,NJ,48704,,
1C,42309479,HO,P,X,,108 Miles Pines Apt. 577,,,,Marystad,UT,35166,Champaign,13.0
1C,42309494,HO,P,X,,6576 Boyd Square Apt. 664,,,,Wardbury,IN,23504,Greene,13.0
1C,42310011,HO,P,X,,12780 Nelson Summit,,,,Christopherport,OK,14390,Christian,13.0
1C,42310346,HO,P,X,,USNS Morris,,,,Normatown,MA,25717,Madison,13.0
1C,42310397,HO,P,X,,8887 Miranda Camp Apt. 727,,,,North Catherineton,OR,55215,Madison,13.0
