Record Type,Constituent ID,Individual Type,Prefix,First Name,Middle Name,Last Name,Suffix,Appellation,Salutation,Date of Birth,No Mail Flag,Deceased Flag
1A,40930776,CS,Ms.,Kristy,F.,Graham,,,Ms. Graham,19870413.0,,
1A,40932580,CS,Mr.,Earl,C.,Coble,,,Mr. Coble,20080922.0,,
1A,40964894,CS,Mrs.,Gilbert,E.,Isip,,,Mrs. Isip,19590328.0,,
1A,40980151,CS,Mrs.,Thomas,B.,Hensley,,,Mrs. Hensley,,,
1A,40983987,CS,Mrs.,Jill, ,Potts,,,Mrs. Potts,19510819.0,,
1A,40987638,CS,Ms.,Edna,D.,Estorga,,,Ms. Estorga,19140918.0,,
1A,40994666,CS,Mrs.,Teresa,C.,Arceneaux,,,Mrs. Arceneaux,19350822.0,,
1A,41004727,CS,Mr.,Kathleen,S.,Jackson,,,Mr. Jackson,19770915.0,,
1A,41071514,CS,Mr.,Thomas,W.,Patterson,,,Mr. Patterson,19590914.0,,
1A,41074992,CS,Ms.,David,Theodore,Sullivan,,,Ms. Sullivan,19021109.0,,
1A,41074994,CS,Mr.,Wesley, ,Wenger,,,Mr. Wenger,19251222.0,,
1A,41075015,CS,Mrs.,Robert,D.,Salazar,,,Mrs. Salazar,20100626.0,,
1A,41075995,CS,Ms.,Richard,M.,Caldwell,,,Ms. Caldwell,19820429.0,,
1A,41076003,CS,Mrs.,Edna,J.,Boehman,,,Mrs. Boehman,19731221.0,,
1A,41076490,CS,Mrs.,James,Jana,Revard,,,Mrs. Revard,19210525.0,,
1A,41076498,CS,Ms.,Eusebia,J.,Lugo,,,Ms. Lugo,19431030.0,,
1A,41077220,CS,Ms.,Daniel,J.,Rudolph,,,Ms. Rudolph,,,
1A,41077648,CS,Ms.,Eric, ,Patel,,,Ms. Patel,19310613.0,,
1A,41077739,CS,Mr.,Mayra, ,Basel,,,Mr. Basel,19680102.0,,
1A,41077751,CS,Mr.,Mari, ,Maxwell,,,Mr. Maxwell,19940714.0,,
1A,41077808,CS,Mr.,Danny,P.,Gamble,,,Mr. Gamble,19630330.0,,
1A,41078215,CS,Mrs.,Joe,Marlin,Reyes,M.D.,,Mrs. Reyes,19580926.0,,
1A,41078483,CS,Ms.,Florence,Luis,Kelly,,,Ms. Kelly,19730219.0,,
1A,41078895,CS,Mrs.,Mary,M.,Sloan,,,Mrs. Sloan,19400310.0,,
1A,41078897,CS,Mrs.,Velma,Chris,Ford,,,Mrs. Ford,19000425.0,,
1A,41079876,CS,Mrs.,Eleanor, ,Mallia,,,Mrs. Mallia,19931104.0,,
1A,41080094,CS,Mr.,Jean,D.,Royster,,,Mr. Royster,19421028.0,,
1A,41080231,CS,Mrs.,Adam, ,Green,,,Mrs. Green,19540828.0,,
1A,41080257,CS,Mr.,Bobby,M.,Gonzales,,,Mr. Gonzales,19060602.0,,
1A,41080468,CS,Mrs.,Kyle,P.,Dotson,,,Mrs. Dotson,19130901.0,,
1A,41080476,CS,Ms.,Stephen, ,Baskett,,,Ms. Baskett,20080403.0,,
1A,41080517,CS,Mr.,Jennifer,A.,Nagase,,,Mr. Nagase,19121001.0,,
1A,41080635,CS,Ms.,June,T.,Wiley,,,Ms. Wiley,,,
1A,41080955,CS,Ms.,Pedro,W.,Parker,,,Ms. Parker,19210229.0,,
1A,41081016,CS,Mrs.,David, ,Norman,,,Mrs. Norman,19250510.0,,
1A,41081137,CS,Mr.,Barbara, ,Toscano,,,Mr. Toscano,19180107.0,,
1A,41081579,CS,Mrs.,Norman,Connie,Poloskey,,,Mrs. Poloskey,19411103.0,,
1A,41082421,CS,Mr.,Patrick,H.,Cedeno,,,Mr. Cedeno,19770210.0,,
1A,41082713,CS,Mr.,Goldie,M.,Enriquez,,,Mr. Enriquez,19290913.0,,
1A,41082924,CS,Mr.,Margaret,K.,Neale,,,Mr. Neale,20051120.0,,
1A,41082955,CS,Mr.,Joseph,J.,Cabral,,,Mr. Cabral,,,
1A,41082960,CS,Ms.,Janice,K.,Smith,,,Ms. Smith,19221008.0,,
1A,41082962,CS,Ms.,Darrel, ,Becker,,,Ms. Becker,20020904.0,,
1A,41089173,CS,Mrs.,Sean,M.,Blank,,,Mrs. Blank,19081201.0,,
1A,41094053,CS,Mrs.,James,C.,Martino,,,Mrs. Martino,19090113.0,,
1A,41116346,CS,Mr.,Lori,J.,Worrell,,,Mr. Worrell,19000214.0,,
1A,41117147,CS,Ms.,Carl,Patrick,Thomas,,,Ms. Thomas,19581020.0,,
1A,41337177,CS,Mr.,Carlos,H.,Scott,,,Mr. Scott,19121111.0,,
1A,41766129,CS,Ms.,Meridith,M.,Watkins,,,Ms. Watkins,,,
1A,41767227,CS,Mr.,Thomas,J.,Cano,,,Mr. Cano,19990515.0,,
1A,41767483,CS,Mrs.,Blake,J.,Chance,,,Mrs. Chance,19630416.0,,
1A,41767484,CS,Ms.,Bessie,K.,Phelps,,,Ms. Phelps,19161230.0,,
1A,41767486,CS,Mr.,Rebecca, ,Grenier,,,Mr. Grenier,19431109.0,,
1A,41767487,CS,Ms.,Paula,C.,Littleton,,,Ms. Littleton,,,
1A,41767489,CS,Ms.,Thomas,Linda,Ellis,,,Ms. Ellis,19370111.0,,
1A,41767490,CS,Mrs.,Paul, ,Mora,,,Mrs. Mora,19600714.0,,
1A,41767491,CS,Mrs.,Robert,J.,Rodriguez,,,Mrs. Rodriguez,19921004.0,,
1A,41767492,CS,Mr.,Evangeline, ,Olson,,,Mr. Olson,19731010.0,,
1A,41767493,CS,Mrs.,Jackie,K.,Mason,,,Mrs. Mason,,,
1A,41767494,CS,Mrs.,Mittie,O.,Woods,,,Mrs. Woods,,,
1A,41767495,CS,Mrs.,Theodora,Rene,Cruz,,,Mrs. Cruz,19500631.0,,
1A,41767497,CS,Ms.,Scott,R.,Lauriano,JR,,Ms. Lauriano,19240704.0,,
1A,41767498,CS,Mr.,Justin,M.,Knab,,,Mr. Knab,19570621.0,,
1A,41767499,CS,Mrs.,Irene,T.,Turner,,,Mrs. Turner,19590421.0,,
1A,41767500,CS,Mrs.,Leo,C.,Lamb,,,Mrs. Lamb,,,
1A,41767501,CS,Ms.,Germaine,B.,Crawford,,,Ms. Crawford,19920906.0,,
1A,41767502,CS,Mrs.,Ronnie,M.,Baccus,,,Mrs. Baccus,,,
1A,41767503,CS,Mr.,William,S.,Karim,,,Mr. Karim,19940229.0,,
1A,41767504,CS,Mr.,Amber, ,Starkey,,,Mr. Starkey,19111217.0,,
1A,41767506,CS,Mr.,Amber,B.,Dye,,,Mr. Dye,19041113.0,,
1A,41767507,CS,Ms.,Melissa,L.,Lochen,,,Ms. Lochen,19281210.0,,
1A,41767508,CS,Mr.,Rafael,C.,Bays,,,Mr. Bays,19550317.0,,
1A,41767509,CS,Ms.,Thomas,Mike,Metcalf,,,Ms. Metcalf,,,
1A,41767510,CS,Ms.,Josephine,M.,Moreno,,,Ms. Moreno,19520824.0,,
1A,41767511,CS,Mr.,Austin, ,Drakeford,,,Mr. Drakeford,19821105.0,,
1A,41767512,CS,Mrs.,Laura,L.,Abramowitz,,,Mrs. Abramowitz,19130421.0,,
1A,41767513,CS,Ms.,Sylvester,E.,Pina,,,Ms. Pina,19371228.0,,
1A,41767514,CS,Mrs.,Gregory,D.,Mabry,,,Mrs. Mabry,,,
1A,41767515,CS,Ms.,Antoinette,J.,Castillo,,,Ms. Castillo,,,
1A,41767516,CS,Mr.,Linda,J.,Miller,,,Mr. Miller,19941109.0,,
1A,41907168,CS,Mr.,Lillian, ,Rohan,,,Mr. Rohan,19830811.0,,
1A,42009209,CS,Mrs.,Nicole,N.,Reid,,,Mrs. Reid,19670807.0,,
1A,42116131,CS,Mrs.,Sharon,M.,Schubert,,,Mrs. Schubert,19751012.0,,
1A,42170134,CS,Ms.,Ellen,D.,Lute,,,Ms. Lute,20060913.0,,
1A,42260852,CS,Mrs.,Willy,S.,Lessard,,,Mrs. Lessard,19510622.0,,
1A,42261881,CS,Ms.,Eddy,S.,Jackson,,,Ms. Jackson,19260127.0,,
1A,42262000,CS,Ms.,Stephanie,J.,Thomas,,,Ms. Thomas,20041114.0,,
1A,42262194,CS,Mrs.,Joseph,L.,Scranton,,,Mrs. Scranton,,,
1A,42263039,CS,Ms.,Angel, ,Rodriguez,,,Ms. Rodriguez,19870130.0,,
1A,42263474,CS,Ms.,Kristi,Burma,Hunter,,,Ms. Hunter,19680817.0,,
1A,42263924,CS,Ms.,Robert,H.,Overton,,,Ms. Overton,20031026.0,,
1A,42264021,CS,Mrs.,Larry, ,Freeman,,,Mrs. Freeman,,,
1A,42264152,CS,Mrs.,Shannon,M.,Collier,,,Mrs. Collier,19460408.0,,
1A,42264312,CS,Ms.,Nathan,D.,Williams,,,Ms. Williams,19020104.0,,
1A,42264413,CS,Ms.,Mary, ,Hyde,,,Ms. Hyde,19470227.0,,
1A,42264448,CS,Mr.,Maria,V.,Castillo,,,Mr. Castillo,20061130.0,,
1A,42264480,CS,Mrs.,Christina,M.,Mott,,,Mrs. Mott,,,
1A,42264489,CS,Ms.,Allen, ,Hurrington,,,Ms. Hurrington,19470804.0,,
1A,42264519,CS,Mr.,Heather,K.,Jones,,,Mr. Jones,,,
1A,42264672,CS,Mrs.,Betty,M.,Richardson,,,Mrs. Richardson,,,
1A,42264816,CS,Mrs.,Betty,J.,Kay,,,Mrs. Kay,19230619.0,,
1A,42264832,CS,Mr.,Phyllis,K.,Suits,,,Mr. Suits,20050321.0,,
1A,42265057,CS,Mr.,Jaime,Edward,Clark,,,Mr. Clark,19040404.0,,
1A,42265220,CS,Mrs.,Tammie,J.,Lacy,,,Mrs. Lacy,19280719.0,,
1A,42265244,CS,Mr.,Kenneth,Stephanie,Rogers,,,Mr. Rogers,20070914.0,,
1A,42265331,CS,Ms.,Holly,G.,Wood,,,Ms. Wood,19120914.0,,
1A,42265667,CS,Mr.,Denise,Lynn,Lovelace,,,Mr. Lovelace,19221014.0,,
1A,42265782,CS,Mrs.,Ricky,R.,Jordan,,,Mrs. Jordan,19350930.0,,
1A,42265961,CS,Mrs.,Frank,T.,Cobham,,,Mrs. Cobham,19581124.0,,
1A,42265983,CS,Ms.,Daniel, ,Smith,,,Ms. Smith,19080413.0,,
1A,42266020,CS,Mr.,Mary,J.,Murillo,,,Mr. Murillo,19290103.0,,
1A,42266054,CS,Ms.,Rosemarie, ,Gilreath,,,Ms. Gilreath,19750801.0,,
1A,42266106,CS,Ms.,Chang,Lenora,Terrell,,,Ms. Terrell,19440806.0,,
1A,42267203,CS,Ms.,Patsy,Donald,Wheatley,,,Ms. Wheatley,19990416.0,,
1A,42285648,CS,Ms.,George,G.,Jone,,,Ms. Jone,19570317.0,,
1A,42290482,CS,Mr.,Marcus,P.,Thompson,,,Mr. Thompson,,,
1A,42294789,CS,Mrs.,Meredith,Reba,Farley,,,Mrs. Farley,20010923.0,,
1A,42299381,CS,Ms.,Lawrence, ,Thompson,,,Ms. Thompson,19390120.0,,
1A,42299411,CS,Ms.,Clarence,A.,Dominique,,,Ms. Dominique,19821201.0,,
1A,42299641,CS,Mr.,John,W.,Bubert,,,Mr. Bubert,,,
1A,42299716,CS,Ms.,Vivian,Stacy,Peacock,,,Ms. Peacock,19340711.0,,
1A,42299753,CS,Mrs.,Constance,C.,Lamb,,,Mrs. Lamb,19800516.0,,
1A,42299776,CS,Mrs.,Angelia, ,Toban,,,Mrs. Toban,19160401.0,,
1A,42299853,CS,Mrs.,Frances, ,Cobb,,,Mrs. Cobb,,,
1A,42300003,CS,Mr.,Jose,M.,Robinson,,,Mr. Robinson,,,
1A,42300233,CS,Ms.,Rosa,J.,Brennan,,,Ms. Brennan,19210731.0,,
1A,42300301,CS,Mr.,Rebecca,Donald,Pittman,,,Mr. Pittman,20020717.0,,
1A,42300351,CS,Mrs.,Evangeline,C.,Brown,,,Mrs. Brown,,,
1A,42300355,CS,Mrs.,Isabell,G.,Perez,,,Mrs. Perez,19910826.0,,
1A,42300357,CS,Mrs.,Robert, ,Henderson,,,Mrs. Henderson,19611010.0,,
1A,42300379,CS,Ms.,John,M.,Mccready,,,Ms. Mccready,19861129.0,,
1A,42300508,CS,Ms.,Alesha,G.,Mastriano,,,Ms. Mastriano,20050522.0,,
1A,42300548,CS,Mr.,Arletta,H.,Pendleton,,,Mr. Pendleton,,,
1A,42300561,CS,Mrs.,Paulita, ,Brownfield,,,Mrs. Brownfield,19391016.0,,
1A,42300610,CS,Mr.,Charlene,Beulah,Hoganson,,,Mr. Hoganson,19000105.0,,
1A,42300620,CS,Ms.,James,J.,Townley,,,Ms. Townley,19690401.0,,
1A,42300640,CS,Ms.,Jimmy, ,Rodriguez,,,Ms. Rodriguez,19430903.0,,
1A,42300683,CS,Ms.,Ross,C.,Brown,,,Ms. Brown,19230516.0,,
1A,42300773,CS,Mrs.,John, ,Smith,,,Mrs. Smith,19220626.0,,
1A,42300869,CS,Mrs.,John, ,Starrick,,,Mrs. Starrick,19271019.0,,
1A,42300965,CS,Mr.,Ana,J.,Cochran,,,Mr. Cochran,19790808.0,,
1A,42300977,CS,Ms.,Carol,B.,Ohare,,,Ms. Ohare,19340318.0,,
1A,42300999,CS,Ms.,Harold, ,Demetriou,,,Ms. Demetriou,19090316.0,,
1A,42301006,CS,Ms.,Carol,Delia,Mills,,,Ms. Mills,,,
1A,42301105,CS,Mr.,Jessica, ,Libby,,,Mr. Libby,19460908.0,,
1A,42301258,CS,Ms.,Terry, ,Rens,,,Ms. Rens,19920903.0,,
1A,42301259,CS,Mr.,James,M.,Donegan,,,Mr. Donegan,19410820.0,,
1A,42301309,CS,Mr.,Douglas,R.,Phillips,,,Mr. Phillips,,,
1A,42301386,CS,Mr.,Benjamin,R.,Stark,,,Mr. Stark,19701208.0,,
1A,42301390,CS,Ms.,Jessica,Nikki,Galloway,,,Ms. Galloway,19550828.0,,
1A,42301391,CS,Mr.,Robert, ,Guhl,,,Mr. Guhl,19210405.0,,
1A,42301560,CS,Ms.,Earl,R.,Morris,,,Ms. Morris,20051211.0,,
1A,42301581,CS,Ms.,Robert,J.,Adams,,,Ms. Adams,19281228.0,,
1A,42301856,CS,Mrs.,Virginia,Patricia,Pena,,,Mrs. Pena,19170323.0,,
1A,42301859,CS,Ms.,Janet,B.,Rost,,,Ms. Rost,,,
1A,42301887,CS,Mrs.,Angela,M.,Meyers,,,Mrs. Meyers,,,
1A,42302031,CS,Mr.,Mary, ,Hochstatter,,,Mr. Hochstatter,19710304.0,,
1A,42302138,CS,Mr.,Martin, ,Nash,,,Mr. Nash,19631030.0,,
1A,42302198,CS,Mrs.,Annette,John,Kowalski,,,Mrs. Kowalski,19840713.0,,
1A,42302519,CS,Mrs.,Ralph,L.,Wolsted,,,Mrs. Wolsted,19710210.0,,
1A,42302560,CS,Ms.,Mary, ,Curtis,,,Ms. Curtis,,,
1A,42302612,CS,Mr.,Joseph,Gertrude,Mccaslin,,,Mr. Mccaslin,19921231.0,,
1A,42302619,CS,Mr.,Luther,R.,Wynne,,,Mr. Wynne,,,
1A,42302890,CS,Mrs.,Alicia, ,Tillman,,,Mrs. Tillman,19251004.0,,
1A,42302938,CS,Mr.,Carmen,N.,Granger,,,Mr. Granger,19670816.0,,
1A,42302976,CS,Mrs.,Alex,M.,Knight,,,Mrs. Knight,19351122.0,,
1A,42303102,CS,Mrs.,Trudy, ,Simonson,,,Mrs. Simonson,19760804.0,,
1A,42303373,CS,Mrs.,Jennifer,J.,Gallian,,,Mrs. Gallian,19651220.0,,
1A,42303440,CS,Mr.,Pedro,R.,Faison,,,Mr. Faison,19940103.0,,
1A,42303498,CS,Ms.,Richard,C.,Giller,,,Ms. Giller,19181124.0,,
1A,42303547,CS,Mrs.,James,Tammy,Conway,,,Mrs. Conway,,,
1A,42303624,CS,Ms.,Micheal,Bruce,Fossey,,,Ms. Fossey,19610804.0,,
1A,42303687,CS,Mr.,Vania,L.,Samuels,,,Mr. Samuels,,,
1A,42303760,CS,Mrs.,Dara,M.,Donaldson,,,Mrs. Donaldson,19840126.0,,
1A,42303844,CS,Mr.,James,L.,Alvarez,,,Mr. Alvarez,19770329.0,,
1A,42303867,CS,Mr.,Raymond, ,Kartes,,,Mr. Kartes,19530305.0,,
1A,42304162,CS,Ms.,Diane,Mickey,Dannenberg,,,Ms. Dannenberg,19860203.0,,
1A,42304436,CS,Mrs.,John, ,Barakat,,,Mrs. Barakat,19221021.0,,
1A,42304501,CS,Ms.,Richard,C.,Vos,,,Ms. Vos,19860607.0,,
1A,42304529,CS,Mr.,Scott,Stanley,Verde,,,Mr. Verde,19331121.0,,
1A,42304541,CS,Mr.,Arlene,C.,Jones,,,Mr. Jones,,,
1A,42304556,CS,Mr.,Michael,Robert,Langhorne,,,Mr. Langhorne,19350514.0,,
1A,42304582,CS,Ms.,Rosemary,J.,Haggard,,,Ms. Haggard,19820208.0,,
1A,42304595,CS,Mrs.,Melanie,R.,Schwab,,,Mrs. Schwab,,,
1A,42304721,CS,Mrs.,Cynthia, ,Mccoy,,,Mrs. Mccoy,19250629.0,,
1A,42304770,CS,Mr.,Tonya,M.,Williams,,,Mr. Williams,20100929.0,,
1A,42304855,CS,Mr.,Shirley,E.,Austin,,,Mr. Austin,19330225.0,,
1A,42304908,CS,Mr.,Mary,K.,Earnest,III,,Mr. Earnest,,,
1A,42305496,CS,Mr.,Miriam,Marc,Coburn,,,Mr. Coburn,19221027.0,,
1A,42305597,CS,Mrs.,Cynthia,S.,Uran,,,Mrs. Uran,19020204.0,,
1A,42305598,CS,Ms.,Ethel,L.,Smith,,,Ms. Smith,19270918.0,,
1A,42305627,CS,Mr.,John,C.,Marie,,,Mr. Marie,19630919.0,,
1A,42305629,CS,Ms.,Bob,A.,Becker,,,Ms. Becker,19420223.0,,
1A,42305751,CS,Mrs.,Susan,C.,Genna,,,Mrs. Genna,20070214.0,,
1A,42305775,CS,Ms.,Elijah, ,Warren,,,Ms. Warren,19341119.0,,
1A,42305805,CS,Ms.,Elaine,Eric,Bunch,,,Ms. Bunch,,,
1A,42305971,CS,Mrs.,Marlene,C.,Warren,,,Mrs. Warren,19121222.0,,
1A,42306073,CS,Mr.,Carol, ,Holm,,,Mr. Holm,19870511.0,,
1A,42306220,CS,Mrs.,Robert,A.,King,,,Mrs. King,20080731.0,,
1A,42306383,CS,Mr.,Wilbur,F.,Christ,,,Mr. Christ,19350329.0,,
1A,42306618,CS,Ms.,Jason, ,Navarro,,,Ms. Navarro,,,
1A,42306620,CS,Ms.,Samuel,J.,Rascon,,,Ms. Rascon,19311008.0,,
1A,42306749,CS,Mr.,Jessie,Luis,Edwards,,,Mr. Edwards,19770825.0,,
1A,42306785,CS,Ms.,Ralph,Heather,Wilson,,,Ms. Wilson,19160303.0,,
1A,42306923,CS,Ms.,Shirley,Travis,Brownlow,,,Ms. Brownlow,19620831.0,,
1A,42306933,CS,Ms.,Lauren,J.,Saldana,,,Ms. Saldana,20080403.0,,
1A,42306954,CS,Mrs.,Hillary,Corey,Burns,,,Mrs. Burns,,,
1A,42306981,CS,Ms.,Dorothy,R.,Kidd,,,Ms. Kidd,19410314.0,,
1A,42307034,CS,Ms.,Christine,C.,Moore,,,Ms. Moore,19280325.0,,
1A,42307061,CS,Mr.,Kenny,G.,Gray,,,Mr. Gray,19640729.0,,
1A,42307236,CS,Ms.,Terrie,Dexter,Gonsalez,,,Ms. Gonsalez,19201220.0,,
1A,42307258,CS,Ms.,Joann,W.,Riley,,,Ms. Riley,19120529.0,,
1A,42307432,CS,Mr.,Frank,Courtney,Smith,II,,Mr. Smith,19701001.0,,
1A,42307617,CS,Ms.,Joshua, ,Gupta,,,Ms. Gupta,,,
1A,42307656,CS,Ms.,James, ,Anderson,,,Ms. Anderson,20060112.0,,
1A,42307697,CS,Ms.,Chris,William,Dimaggio,,,Ms. Dimaggio,,,
1A,42307704,CS,Ms.,Victoria,H.,Olson,,,Ms. Olson,,,
1A,42307808,CS,Mr.,Kim,E.,Reyes,,,Mr. Reyes,,,
1A,42308319,CS,Ms.,Joshua,L.,Mischler,,,Ms. Mischler,19150902.0,,
1A,42308403,CS,Ms.,Sarah,C.,Camara,,,Ms. Camara,19741114.0,,
1A,42308422,CS,Ms.,Richard,Faye,Wall,,,Ms. Wall,19771010.0,,
1A,42308477,CS,Mrs.,Karen,C.,Brock,,,Mrs. Brock,19380118.0,,
1A,42308491,CS,Mr.,Julia,R.,Davis,,,Mr. Davis,19221002.0,,
1A,42308664,CS,Ms.,Tad,J.,Steen,,,Ms. Steen,19410707.0,,
1A,42308931,CS,Mr.,Katie,Jamie,Comfort,,,Mr. Comfort,19161024.0,,
1A,42309191,CS,Mrs.,Joe,L.,Hargrove,,,Mrs. Hargrove,,,
1A,42309270,CS,Mrs.,Lisette,D.,Jacobi,,,Mrs. Jacobi,,,
1A,42309479,CS,Mrs.,Terrence, ,Simmonds,,,Mrs. Simmonds,19090518.0,,
1A,42309494,CS,Mr.,Jenny, ,Mosher,,,Mr. Mosher,19000906.0,,
1A,42310011,CS,Mr.,Derek, ,Morrow,,,Mr. Morrow,20040529.0,,
1A,42310346,CS,Ms.,Keenan,G.,Simmons,,,Ms. Simmons,19470415.0,,
1A,42310397,CS,Ms.,Bennie,S.,Belcher,,,Ms. Belcher,,,
1A,42310548,CS,Ms.,Dean, ,Snider,,,Ms. Snider,19220426.0,,
1A,42310601,CS,Ms.,Consuelo,Otis,Williams,,,Ms. Williams,,,
1A,42310749,CS,Mrs.,Lisa,F.,Smith,,,Mrs. Smith,20091030.0,,
1A,42310753,CS,Mrs.,Mary,L.,Flynn,,,Mrs. Flynn,19650501.0,,
1A,42310806,CS,Mrs.,Lindsay,C.,Harris,,,Mrs. Harris,19140819.0,,
1A,42310807,CS,Mr.,Ashley, ,Harris,,,Mr. Harris,,,
1A,42310813,CS,Mrs.,Sara,H.,George,,,Mrs. George,19290320.0,,
1A,42310816,CS,Mrs.,Edgar,E.,Holt,,,Mrs. Holt,19270404.0,,
1A,42310871,CS,Mr.,David,V.,Mccauley,,,Mr. Mccauley,19870415.0,,
1A,42311025,CS,Mr.,Dennis,Betty,Stephan,,,Mr. Stephan,19631013.0,,
1A,42311037,CS,Mr.,Neva,Robert,Simpson,,,Mr. Simpson,19281007.0,,
1A,42311090,CS,Ms.,Solomon,A.,Underwood,,,Ms. Underwood,19921025.0,,
1A,42311139,CS,Mrs.,Hope,H.,Claar,,,Mrs. Claar,,,
1A,42311213,CS,Mr.,Lucas,A.,Quinones,,,Mr. Quinones,19590403.0,,
1A,42311265,CS,Ms.,Maria, ,Douglas,,,Ms. Douglas,19710914.0,,
1A,42311280,CS,Ms.,Damian,Deirdre,Small,,,Ms. Small,19200125.0,,
1A,42311630,CS,Mr.,Coleen,M.,Holland,,,Mr. Holland,19411211.0,,
1A,42311929,CS,Ms.,Mary, ,Villanveva,,,Ms. Villanveva,19800308.0,,
1A,42312483,CS,Mrs.,Karen,C.,Melton,,,Mrs. Melton,19160914.0,,
1A,42312563,CS,Mr.,Judy,W.,Gainer,,,Mr. Gainer,19760306.0,,
1A,42313062,CS,Mrs.,Isabel,Christina,Faley,,,Mrs. Faley,,,
1A,42313106,CS,Mrs.,Jeanine,M.,Sims,,,Mrs. Sims,19010630.0,,
1A,42313156,CS,Mr.,Adelaide, ,Saucedo,,,Mr. Saucedo,19581007.0,,
1A,42313160,CS,Ms.,Devon, ,Arevalos,,,Ms. Arevalos,,,
1A,42313165,CS,Ms.,David,Daisy,Barron,,,Ms. Barron,19470308.0,,
1A,42313213,CS,Mrs.,Allen,D.,Harris,,,Mrs. Harris,19550412.0,,
1A,42313343,CS,Mr.,Rosalie,M.,Garcia,,,Mr. Garcia,19580427.0,,
1A,42313349,CS,Mrs.,Valerie, ,Valenziano,,,Mrs. Valenziano,,,
1A,42313573,CS,Mr.,Carl,A.,Webster,,,Mr. Webster,19190816.0,,
1A,42314032,CS,Mr.,Joseph,M.,Thompson,,,Mr. Thompson,19310528.0,,
1A,42314135,CS,Ms.,Roberto,L.,Mathias,,,Ms. Mathias,19501214.0,,
1A,42375321,CS,Ms.,Roy,David,Mcgowan,,,Ms. Mcgowan,19011210.0,,
1A,42375414,CS,Mrs.,Frances,O.,Bryant,,,Mrs. Bryant,19700416.0,,
1A,42375677,CS,Mr.,Dorothy, ,Mccray,,,Mr. Mccray,19301131.0,,
1A,42375939,CS,Ms.,Jeremy,Monica,Kertzman,,,Ms. Kertzman,19010929.0,,
